CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,CrimeTime,PoliceStationID,CrimeMajorHeadID,CrimeMinorHeadID,CrimeType,IPCSectionID,CaseStatusID,GravityOffenceID,CrimeSeverity,latitude,longitude,Area,BriefFacts
1001,104430006202600001,202600001,2025-10-20,05:45,6,1,1,Murder,302,1,1,CRITICAL,13.045512211438604,77.58895875621356,Hebbal,Murder reported at Hebbal
1002,104430006202600002,202600002,2026-05-03,19:45,5,1,2,Assault,307,1,2,HIGH,12.987742396606114,77.64242461815431,Indiranagar,Assault reported at Indiranagar
1003,104430006202600003,202600003,2022-09-07,05:30,2,6,13,Kidnapping,363,3,1,CRITICAL,12.975955001136887,77.60536104257663,MG Road,Kidnapping reported at MG Road
1004,104430006202600004,202600004,2025-01-18,06:45,2,5,11,Drug Peddling,420,3,2,HIGH,12.967927871259326,77.61135985153729,MG Road,Drug Peddling reported at MG Road
1005,104430006202600005,202600005,2024-09-09,07:45,5,5,12,Drug Trafficking,420,2,2,HIGH,12.985924004202339,77.63815218071417,Indiranagar,Drug Trafficking reported at Indiranagar
1006,104430006202600006,202600006,2025-06-16,19:45,2,6,14,Abduction,366,4,1,CRITICAL,12.965992769261172,77.61735507417843,MG Road,Abduction reported at MG Road
1007,104430006202600007,202600007,2023-02-28,21:45,6,3,8,Harassment,376,1,2,MEDIUM,13.044728683871336,77.5940269039969,Hebbal,Harassment reported at Hebbal
1008,104430006202600008,202600008,2024-11-24,21:30,5,5,12,Drug Trafficking,420,4,2,HIGH,12.975712202059087,77.63699245236361,Indiranagar,Drug Trafficking reported at Indiranagar
1009,104430006202600009,202600009,2022-04-21,08:30,4,2,7,Vehicle Theft,379,4,1,MEDIUM,12.936099413160434,77.57366535231309,Jayanagar,Vehicle Theft reported at Jayanagar
1010,104430006202600010,202600010,2022-09-06,23:45,6,4,10,Online Scam,420,3,2,LOW,13.040968897244694,77.59294005210091,Hebbal,Online Scam reported at Hebbal
1011,104430006202600011,202600011,2025-10-13,12:30,4,6,14,Abduction,366,2,2,CRITICAL,12.938177259192427,77.59239283234038,Jayanagar,Abduction reported at Jayanagar
1012,104430006202600012,202600012,2022-06-02,21:15,6,6,13,Kidnapping,363,1,2,CRITICAL,13.028031863388119,77.60376923952047,Hebbal,Kidnapping reported at Hebbal
1013,104430006202600013,202600013,2025-08-27,04:00,6,5,11,Drug Peddling,420,1,1,HIGH,13.037219046540548,77.59942863456207,Hebbal,Drug Peddling reported at Hebbal
1014,104430006202600014,202600014,2025-05-09,08:00,1,2,4,Theft,379,4,2,LOW,12.96487485205357,77.75771359207685,Whitefield,Theft reported at Whitefield
1015,104430006202600015,202600015,2023-07-23,03:30,1,2,6,Burglary,380,2,2,MEDIUM,12.976528989183556,77.74247912696447,Whitefield,Burglary reported at Whitefield
1016,104430006202600016,202600016,2023-09-29,06:45,4,6,14,Abduction,366,1,1,CRITICAL,12.920848156309814,77.59207898652237,Jayanagar,Abduction reported at Jayanagar
1017,104430006202600017,202600017,2025-11-07,13:30,6,4,10,Online Scam,420,3,2,LOW,13.041997368999912,77.59594948528036,Hebbal,Online Scam reported at Hebbal
1018,104430006202600018,202600018,2024-02-26,21:45,5,1,1,Murder,302,1,1,CRITICAL,12.978483657965743,77.63999523939897,Indiranagar,Murder reported at Indiranagar
